"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALARIO TOTAL","Promedio","","","","","","","","","",""
"Aguada","3","Productos de Metal                       ","332","3","*","*","*","","","","","","","","","",""
"Aguada","3","Maquinaria                               ","333","0","0","0","0","","","","","","","","","",""
"Aguada","3","Computadora y Productos Electrónicos    ","334","0","0","0","0","","","","","","","","","",""
"Aguada","3","Equipo y Aparatos Eléctricos             ","335","0","0","0","0","","","","","","","","","",""
"Aguada","3","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","",""
"Aguada","3","Muebles y Productos Relacionados         ","337","3","*","*","*","","","","","","","","","",""
"Aguada","3","Industrias Manufactureras Misceláneas    ","339","1","*","*","*","","","","","","","","","",""
"Aguada","3","Comercio al por Mayor                    ","42","14","  31 ","  108,369 ","  3,459 ","","","","","","","","","",""
"Aguada","3","Comercio al Detal                        ","44-45","153","  856 ","  2,992,230 ","  3,496 ","","","","","","","","","",""
"Aguada","3","Transportación y Almacenamiento           ","48-49","8","  43 ","  312,761 ","  7,274 ","","","","","","","","","",""
"Aguada","3","Información                              ","51","2","*","*","*","","","","","","","","","",""
"Aguada","3","Finanzas y Seguros                       ","52","11","  98 ","  706,940 ","  7,214 ","","","","","","","","","",""
"Aguada","3","Bienes Raíces, Renta o Arrendamiento     ","53","7","  25 ","  87,546 ","  3,456 ","","","","","","","","","",""
"Aguada","3","Servicios Profesionales y Técnicos       ","54","31","  95 ","  794,744 ","  8,395 ","","","","","","","","","",""
"Aguada","3","Gerencia de Compañías y Empresas         ","55","0","0","0","0","","","","","","","","","",""
"Aguada","3","Servicios Adm. y Desperdicios Sólidos    ","56","13","  137 ","  392,215 ","  2,856 ","","","","","","","","","",""
"Aguada","3","Servicios Educativos                     ","61","11","  683 ","  4,333,352 ","  6,345 ","","","","","","","","","",""
"Aguada","3","Servicios de Salud y Asistencia Social   ","62","80","  271 ","  1,239,359 ","  4,568 ","","","","","","","","","",""
"Aguada","3","Arte, Entretenimiento y Recreación       ","71","3","*","*","*","","","","","","","","","",""
"Aguada","3","Alojamiento y Servicios de Alimentos     ","72","61","  291 ","  622,734 ","  2,142 ","","","","","","","","","",""
"Aguada","3","Otros Servicios Excepto Adm. Pública     ","81","32","  57 ","  232,809 ","  4,108 ","","","","","","","","","",""
"Aguada","3","Administracion Pública                   ","92","14","  577 ","  4,615,228 ","  7,994 ","","","","","","","","","",""
"Aguada","3","Otros (Establecimientos no Clasificados) ","99","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Total Municipio Segundo Trimestre 2020","","867","  17,041 ","  137,023,631 ","  8,041 ","","","","","","","","","",""
"Aguadilla","5","Agricultura, Bosque, Pesca y Caza        ","11","15","  63 ","  142,163 ","  2,269 ","","","","","","","","","",""
"Aguadilla","5","Mineria                                  ","21","1","*","*","*","","","","","","","","","",""
"Aguadilla","5","Electricidad, Agua y Gas                 ","22","2","*","*","*","","","","","","","","","",""
"Aguadilla","5","Construcción                             ","23","24","  226 ","  1,372,652 ","  6,065 ","","","","","","","","","",""
"Aguadilla","5","Manufactura                              ","31-33","42","  1,139 ","  14,294,441 ","  12,554 ","","","","","","","","","",""
"Aguadilla","5","Alimentos                                ","311","20","  332 ","  1,968,075 ","  5,928 ","","","","","","","","","",""
"Aguadilla","5","Productos de Tabaco y Bebidas            ","312","1","*","*","*","","","","","","","","","",""
"Aguadilla","5","Textiles                                 ","313","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Productos Textiles Excepto Ropa          ","314","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Ropa                                     ","315","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Cuero y Productos Relacionados           ","316","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Productos de Madera                      ","321","1","*","*","*","","","","","","","","","",""
"Aguadilla","5","Papel                                    ","322","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Imprenta e Industrias Relacionadas       ","323","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Productos de Petróleo y Carbón           ","324","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Productos Químicos                       ","325","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Productos de Goma y Plásticos            ","326","1","*","*","*","","","","","","","","","",""
"Aguadilla","5","Productos Minerales no Metálicos         ","327","2","*","*","*","","","","","","","","","",""
"Aguadilla","5","Industrias de Materiales Primarios       ","331","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Productos de Metal                       ","332","2","*","*","*","","","","","","","","","",""
"Aguadilla","5","Maquinaria                               ","333","2","*","*","*","","","","","","","","","",""
"Aguadilla","5","Computadora y Productos Electrónicos    ","334","2","*","*","*","","","","","","","","","",""
"Aguadilla","5","Equipo y Aparatos Eléctricos             ","335","2","*","*","*","","","","","","","","","",""
"Aguadilla","5","Equipo de Transportación                 ","336","0","0","0","0","","","","","","","","","",""
"Aguadilla","5","Muebles y Productos Relacionados         ","337","3","*","*","*","","","","","","","","","",""
"Aguadilla","5","Industrias Manufactureras Misceláneas    ","339","6","  37 ","  361,385 ","  9,680 ","","","","","","","","","",""
"Aguadilla","5","Comercio al por Mayor                    ","42","21","  426 ","  6,332,254 ","  14,853 ","","","","","","","","","",""
"Aguadilla","5","Comercio al Detal                        ","44-45","188","  2,203 ","  8,049,703 ","  3,655 ","","","","","","","","","",""
