town_code,naics,establishments,year,town_name,region
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,54,1.0,2013,Adjuntas,Mountain
1,56,1.0,2013,Adjuntas,Mountain
1,56,1.0,2013,Adjuntas,Mountain
1,56,1.0,2013,Adjuntas,Mountain
1,56,1.0,2013,Adjuntas,Mountain
1,56,1.0,2013,Adjuntas,Mountain
1,62,20.0,2013,Adjuntas,Mountain
1,62,16.0,2013,Adjuntas,Mountain
1,62,7.0,2013,Adjuntas,Mountain
1,62,7.0,2013,Adjuntas,Mountain
1,62,7.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,4.0,2013,Adjuntas,Mountain
1,62,4.0,2013,Adjuntas,Mountain
1,62,3.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,2.0,2013,Adjuntas,Mountain
1,62,2.0,2013,Adjuntas,Mountain
1,62,2.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,3.0,2013,Adjuntas,Mountain
1,62,2.0,2013,Adjuntas,Mountain
1,62,2.0,2013,Adjuntas,Mountain
1,62,2.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
1,62,1.0,2013,Adjuntas,Mountain
