fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
72,1,------,,G,653,G,2635,G,11348,128,88,23,10,7,0,0,0,0,0,0,0,0,0,6,1
72,1,23----,B,D,0,D,0,D,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,236///,A,D,0,D,0,D,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,2361//,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,23611/,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,236118,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,2362//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,23622/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,236220,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,238///,B,D,0,D,0,D,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,2382//,B,D,0,D,0,D,0,3,1,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,23821/,B,D,0,D,0,D,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,238210,B,D,0,D,0,D,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,23829/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,238290,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31----,B,D,0,D,0,D,0,4,2,1,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,311///,,G,14,H,24,H,88,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,3114//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31141/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,311411,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,3118//,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31181/,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,311811,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,315///,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,3152//,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,31521/,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,315210,B,D,0,D,0,D,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,44----,,G,180,G,549,G,2253,44,33,5,6,0,0,0,0,0,0,0,0,0,0,6,1
72,1,441///,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4413//,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44131/,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,441310,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,442///,,G,7,S,0,H,68,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4421//,,G,7,S,0,H,68,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44211/,,G,7,S,0,H,68,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,442110,,G,7,S,0,H,68,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,444///,B,S,0,S,0,H,573,9,8,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4441//,B,S,0,S,0,H,563,7,6,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44413/,,H,31,H,123,H,484,5,4,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,444130,,H,31,H,123,H,484,5,4,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44419/,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,444190,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4442//,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44422/,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,444220,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,445///,B,S,0,H,64,G,264,7,6,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4451//,A,S,0,S,0,H,99,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44511/,A,S,0,S,0,H,99,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,445110,A,S,0,S,0,H,99,5,5,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4452//,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44529/,A,D,0,D,0,D,0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,445291,A,D,0,D,0,D,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,1
72,1,445299,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,446///,,H,28,G,122,G,507,5,3,0,2,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4461//,,H,28,G,122,G,507,5,3,0,2,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44611/,,H,28,G,122,G,507,5,3,0,2,0,0,0,0,0,0,0,0,0,0,6,1
72,1,446110,,H,28,G,122,G,507,5,3,0,2,0,0,0,0,0,0,0,0,0,0,6,1
72,1,447///,A,S,0,H,45,G,188,6,5,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4471//,A,S,0,H,45,G,188,6,5,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44711/,A,S,0,H,32,G,132,4,3,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,447110,A,S,0,H,32,G,132,4,3,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44719/,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,447190,A,D,0,D,0,D,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,448///,,G,27,H,67,H,303,5,2,3,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,4481//,A,D,0,D,0,D,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,44814/,A,D,0,D,0,D,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,6,1
