fipstate,fipscty,naics,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n<5,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
72,1,------,G,924,G,4068,G,18243,121,78,22,11,6,3,N,N,N,N,N,N,N,N,6,1
72,1,23----,J,64,J,651,J,2584,6,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,236///,G,12,G,46,H,227,4,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,2362//,J,7,J,16,G,119,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,23622/,J,7,J,16,G,119,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,236220,J,7,J,16,G,119,3,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,31----,G,233,G,703,G,3850,7,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,311///,J,16,H,31,G,154,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,3118//,J,14,H,26,G,127,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,31181/,J,14,H,26,G,127,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,311811,J,14,H,26,G,127,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44----,G,212,G,774,G,3836,37,26,5,5,N,N,N,N,N,N,N,N,N,N,6,1
72,1,442///,J,12,H,36,G,164,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4421//,J,12,H,36,G,164,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44211/,J,12,H,36,G,164,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,442110,J,12,H,36,G,164,3,N,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,444///,J,40,G,142,G,455,7,5,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4441//,J,38,G,137,G,438,6,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44413/,J,36,G,131,H,411,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,444130,J,36,G,131,H,411,5,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,445///,J,65,J,254,G,1823,7,6,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,4451//,J,60,J,242,G,1776,5,4,N,N,N,N,N,N,N,N,N,N,N,N,6,1
72,1,44511/,J,56,J,221,H,1694,4,3,N,N,N,N,N,N,N,N,N,N,N,N,6,1
