fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
72,1,------,,H,1111,H,3494,H,15602,121,79,26,8,5,1,2,0,0,0,0,0,0,0,6,1
72,1,23----,E,D,0,D,0,D,0,6,3,1,0,1,0,1,0,0,0,0,0,0,0,6,1
72,1,236///,A,D,0,D,0,D,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,2361//,A,D,0,D,0,D,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,23611/,A,D,0,D,0,D,0,3,2,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,236115,A,D,0,D,0,D,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,6,1
72,1,236118,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,237///,A,D,0,D,0,D,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,2371//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,23711/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,237110,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,2373//,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,23731/,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,237310,A,D,0,D,0,D,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,238///,C,D,0,D,0,D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
72,1,2381//,C,D,0,D,0,D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
72,1,23819/,C,D,0,D,0,D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
72,1,238190,C,D,0,D,0,D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
72,1,31----,E,D,0,D,0,D,0,11,7,3,0,0,0,1,0,0,0,0,0,0,0,6,1
72,1,311///,A,S,0,S,0,G,57,5,4,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,3114//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31141/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,311412,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,3118//,A,S,0,S,0,G,54,4,3,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31181/,A,S,0,S,0,G,54,4,3,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,311811,A,S,0,S,0,G,54,4,3,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,315///,C,D,0,D,0,D,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,1
