"fipstate","fipscty","naics","empflag","emp_nf","emp","qp1_nf","qp1","ap_nf","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
72,61,"3371//","A","D",0,"D",0,"D",0,2,1,0,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"33711/","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"337110","A","D",0,"D",0,"D",0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"33712/","A","D",0,"D",0,"D",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"337127","A","D",0,"D",0,"D",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,6,61
72,61,"339///","E","D",0,"D",0,"D",0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,6,61
72,61,"3391//","C","D",0,"D",0,"D",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,61
72,61,"33911/","C","D",0,"D",0,"D",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,61
72,61,"339113","C","D",0,"D",0,"D",0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,6,61
72,61,"3399//","C","D",0,"D",0,"D",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,61
72,61,"33995/","C","D",0,"D",0,"D",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,61
72,61,"339950","C","D",0,"D",0,"D",0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,6,61
72,61,"42----","","H",4517,"G",58092,"G",217005,180,72,24,32,24,21,5,2,0,0,0,0,0,0,6,61
72,61,"423///","","G",1158,"G",16347,"G",63321,79,30,14,17,13,5,0,0,0,0,0,0,0,0,6,61
72,61,"4231//","","G",136,"G",1617,"G",5705,7,1,0,3,3,0,0,0,0,0,0,0,0,0,6,61
