fipstate,fipscty,naics,empflag,emp,qp1,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
72,1,------,,930,2387,11043,131,94,19,8,7,2,1,0,0,0
72,1,23----,,86,244,1409,6,4,0,0,1,1,0,0,0,0
72,1,236///,B,0,0,0,2,1,0,0,0,1,0,0,0,0
72,1,237///,A,0,0,0,3,3,0,0,0,0,0,0,0,0
72,1,238///,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,1,31----,,277,494,3210,12,8,1,2,0,0,1,0,0,0
72,1,311///,A,0,0,0,5,4,1,0,0,0,0,0,0,0
72,1,315///,C,0,0,0,1,0,0,0,0,0,1,0,0,0
72,1,327///,B,0,0,0,2,0,0,2,0,0,0,0,0,0
72,1,332///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,1,334///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,337///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,42----,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,424///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,44----,,204,496,1877,37,27,5,4,0,1,0,0,0,0
72,1,441///,,5,8,40,3,3,0,0,0,0,0,0,0,0
72,1,442///,,16,28,124,3,1,1,1,0,0,0,0,0,0
72,1,444///,,10,21,66,5,4,1,0,0,0,0,0,0,0
72,1,445///,C,0,0,0,6,4,0,1,0,1,0,0,0,0
72,1,446///,,14,46,188,3,1,2,0,0,0,0,0,0,0
72,1,447///,,13,34,97,6,6,0,0,0,0,0,0,0,0
72,1,448///,,15,32,165,6,5,1,0,0,0,0,0,0,0
72,1,452///,B,0,0,0,2,0,0,2,0,0,0,0,0,0
72,1,453///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,454///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,1,48----,A,0,0,0,2,1,0,1,0,0,0,0,0,0
72,1,485///,A,0,0,0,1,0,0,1,0,0,0,0,0,0
72,1,488///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,52----,,50,268,1005,3,0,2,0,1,0,0,0,0,0
72,1,522///,,50,268,1005,3,0,2,0,1,0,0,0,0,0
72,1,53----,,13,44,182,3,1,2,0,0,0,0,0,0,0
72,1,531///,A,0,0,0,2,0,2,0,0,0,0,0,0,0
72,1,532///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,54----,,9,22,127,7,7,0,0,0,0,0,0,0,0
72,1,541///,,9,22,127,7,7,0,0,0,0,0,0,0,0
72,1,56----,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,561///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,61----,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,1,611///,B,0,0,0,1,0,0,0,1,0,0,0,0,0
72,1,62----,,114,368,1643,21,13,5,1,2,0,0,0,0,0
72,1,621///,B,0,0,0,16,10,4,0,2,0,0,0,0,0
72,1,623///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,1,624///,B,0,0,0,3,1,1,1,0,0,0,0,0,0
72,1,72----,,75,168,739,18,13,4,0,1,0,0,0,0,0
72,1,721///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,1,722///,B,0,0,0,16,11,4,0,1,0,0,0,0,0
72,1,81----,,19,38,166,8,8,0,0,0,0,0,0,0,0
72,1,811///,A,0,0,0,1,1,0,0,0,0,0,0,0,0
72,1,812///,A,0,0,0,2,2,0,0,0,0,0,0,0,0
72,1,813///,,14,31,137,5,5,0,0,0,0,0,0,0,0
72,1,99----,,43,163,397,11,10,0,0,1,0,0,0,0,0
72,3,------,,4118,13767,50715,446,312,61,29,29,12,1,1,1,0
72,3,21----,B,0,0,0,2,1,0,0,1,0,0,0,0,0
72,3,212///,B,0,0,0,2,1,0,0,1,0,0,0,0,0
72,3,23----,,1111,2429,10769,41,19,5,3,6,6,1,1,0,0
72,3,236///,,904,1757,7657,26,12,2,2,3,5,1,1,0,0
72,3,237///,,114,480,2348,4,1,0,0,2,1,0,0,0,0
72,3,238///,,93,192,764,11,6,3,1,1,0,0,0,0,0
72,3,31----,,1121,5725,16537,33,16,5,7,4,0,0,0,1,0
72,3,311///,,63,151,677,13,8,2,3,0,0,0,0,0,0
72,3,315///,A,0,0,0,1,0,1,0,0,0,0,0,0,0
72,3,321///,A,0,0,0,2,1,1,0,0,0,0,0,0,0
72,3,322///,A,0,0,0,1,0,0,1,0,0,0,0,0,0
