fipstate,fipscty,sic,empflag,emp,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000
72,1,----,,945,8992,135,91,19,15,8,1,1,0,0,0
72,1,15--,,73,530,3,0,0,2,1,0,0,0,0,0
72,1,1500,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,1510,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,1600,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,1620,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,1700,B,0,0,1,0,0,0,1,0,0,0,0,0
72,1,1750,B,0,0,1,0,0,0,1,0,0,0,0,0
72,1,1751,B,0,0,1,0,0,0,1,0,0,0,0,0
72,1,20--,,280,2552,11,5,1,4,0,0,1,0,0,0
72,1,2000,,33,411,5,2,1,2,0,0,0,0,0,0
72,1,2030,,33,411,5,2,1,2,0,0,0,0,0,0
72,1,2033,A,0,0,4,2,1,1,0,0,0,0,0,0
72,1,2035,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,2300,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2320,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2325,C,0,0,1,0,0,0,0,0,1,0,0,0
72,1,2400,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2430,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,2434,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3200,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3270,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3272,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3400,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3490,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3499,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3500,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3550,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3556,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,3600,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3670,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,3672,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,40--,A,0,0,4,3,0,1,0,0,0,0,0,0
72,1,4200,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,4210,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,4500,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,4510,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,4800,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,4830,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,4900,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,4940,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,50--,A,0,0,4,3,0,1,0,0,0,0,0,0
72,1,5000,A,0,0,2,1,0,1,0,0,0,0,0,0
72,1,5010,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,5015,A,0,0,1,0,0,1,0,0,0,0,0,0
72,1,5070,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5072,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5100,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,5140,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5149,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5170,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5171,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,52--,,314,2616,59,40,11,5,2,1,0,0,0,0
72,1,5200,B,0,0,5,2,2,0,1,0,0,0,0,0
72,1,5210,B,0,0,2,1,0,0,1,0,0,0,0,0
72,1,5250,,12,125,3,1,2,0,0,0,0,0,0,0
72,1,5300,B,0,0,2,1,0,1,0,0,0,0,0,0
72,1,5330,B,0,0,2,1,0,1,0,0,0,0,0,0
72,1,5400,,98,921,11,9,0,0,1,1,0,0,0,0
72,1,5410,,84,795,6,4,0,0,1,1,0,0,0,0
72,1,5420,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5460,A,0,0,4,4,0,0,0,0,0,0,0,0
72,1,5500,,31,215,10,8,1,1,0,0,0,0,0,0
72,1,5530,,11,71,3,2,1,0,0,0,0,0,0,0
72,1,5540,,20,144,7,6,0,1,0,0,0,0,0,0
72,1,5600,,24,232,5,3,1,1,0,0,0,0,0,0
72,1,5650,A,0,0,3,2,1,0,0,0,0,0,0,0
72,1,5660,A,0,0,2,1,0,1,0,0,0,0,0,0
72,1,5700,,22,173,4,2,1,1,0,0,0,0,0,0
72,1,5710,B,0,0,3,1,1,1,0,0,0,0,0,0
72,1,5712,B,0,0,3,1,1,1,0,0,0,0,0,0
72,1,5730,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5731,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5800,,45,369,10,6,3,1,0,0,0,0,0,0
72,1,5812,,45,369,10,6,3,1,0,0,0,0,0,0
72,1,5900,,37,308,12,9,3,0,0,0,0,0,0,0
72,1,5910,,25,205,5,2,3,0,0,0,0,0,0,0
72,1,5920,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5940,A,0,0,3,3,0,0,0,0,0,0,0,0
72,1,5943,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5944,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5949,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,5980,,6,57,3,3,0,0,0,0,0,0,0,0
72,1,5983,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,5984,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,60--,,55,894,6,2,2,1,1,0,0,0,0,0
72,1,6000,A,0,0,2,0,2,0,0,0,0,0,0,0
72,1,6020,A,0,0,2,0,2,0,0,0,0,0,0,0
72,1,6100,B,0,0,2,0,0,1,1,0,0,0,0,0
72,1,6140,B,0,0,2,0,0,1,1,0,0,0,0,0
72,1,6500,A,0,0,2,2,0,0,0,0,0,0,0,0
72,1,6510,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,6530,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,70--,,183,2052,40,31,4,1,4,0,0,0,0,0
72,1,7000,A,0,0,1,1,0,0,0,0,0,0,0,0
72,1,7010,A,0,0,1,1,0,0,0,0,0,0,0,0
