"MUNICIPIO","CTY","INDUSTRIA","NAICS","UNIDADES","EMPLEO PROMEDIO","SALRIO Total Municipio Primr Trimestre 2022","Promedio"
"Cabo Rojo","23","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Cabo Rojo","23","Comercio al por Mayor                    ","42","20","  130 ","  561,986 ","  4,323 "
"Cabo Rojo","23","Comercio al Detal                        ","44-45","114","  1,148 ","  4,818,775 ","  4,198 "
"Cabo Rojo","23","Transportación y Almacenamiento           ","48-49","5","  87 ","  774,849 ","  8,941 "
"Cabo Rojo","23","Información                              ","51","6","  56 ","  379,330 ","  6,814 "
"Cabo Rojo","23","Finanzas y Seguros                       ","52","11","  115 ","  896,877 ","  7,776 "
"Cabo Rojo","23","Bienes Raíces, Renta o Arrendamiento     ","53","12","  27 ","  131,518 ","  4,812 "
"Cabo Rojo","23","Servicios Profesionales y Técnicos       ","54","32","  91 ","  523,348 ","  5,730 "
"Cabo Rojo","23","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Cabo Rojo","23","Servicios Adm. y Desperdicios Sólidos    ","56","21","  150 ","  570,916 ","  3,806 "
"Cabo Rojo","23","Servicios Educativos                     ","61","5","506","3256363 ","6440 "
"Cabo Rojo","23","Servicios de Salud y Asistencia Social   ","62","97","  603 ","  3,640,649 ","  6,041 "
"Cabo Rojo","23","Arte, Entretenimiento y Recreación       ","71","6","  44 ","  209,054 ","  4,716 "
"Cabo Rojo","23","Alojamiento y Servicios de Alimentos     ","72","121","  1,104 ","  3,317,924 ","  3,006 "
"Cabo Rojo","23","Otros Servicios Excepto Adm. Pública     ","81","63","  169 ","  546,636 ","  3,235 "
"Cabo Rojo","23","Administración Pública                   ","92","12","598","2615949 ","4372 "
"Cabo Rojo","23","Otros (Establecimientos no Clasificados) ","99","12","  30 ","  80,766 ","  2,722 "
"Caguas","25","Total Municipio Primer Trimestre 2022 ","","2,293","  45,718 ","  316,620,581 ","  6,925 "
"Caguas","25","Agricultura, Bosque, Pesca y Caza        ","11","17","  103 ","  464,570 ","  4,525 "
"Caguas","25","Mineria                                  ","21","1","*","*","*"
"Caguas","25","Electricidad, Agua y Gas                 ","22","7","  560 ","  5,944,157 ","  10,608 "
"Caguas","25","Construcción                             ","23","104","  1,505 ","  9,815,451 ","  6,523 "
"Caguas","25","Manufactura                              ","31-33","90","  3,105 ","  30,884,172 ","  9,946 "
"Caguas","25","Alimentos                                ","311","16","  242 ","  905,579 ","  3,742 "
"Caguas","25","Productos de Tabaco y Bebidas            ","312","4","*","*","*"
"Caguas","25","Textiles                                 ","313","0","0","0","0"
"Caguas","25","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Caguas","25","Ropa                                     ","315","3","  11 ","  54,061 ","  4,770 "
"Caguas","25","Cuero y Productos Relacionados           ","316","1","*","*","*"
"Caguas","25","Productos de Madera                      ","321","2","*","*","*"
"Caguas","25","Papel                                    ","322","0","0","0","0"
"Caguas","25","Imprenta e Industrias Relacionadas       ","323","9","  83 ","  387,960 ","  4,693 "
"Caguas","25","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Caguas","25","Productos Químicos                       ","325","9","  656 ","  11,424,898 ","  17,425 "
"Caguas","25","Productos de Goma y Plásticos            ","326","2","*","*","*"
"Caguas","25","Productos Minerales no Metálicos         ","327","3","  21 ","  151,518 ","  7,215 "
"Caguas","25","Industrias de Materiales Primarios       ","331","2","*","*","*"
"Caguas","25","Productos de Metal                       ","332","13","  217 ","  1,068,466 ","  4,931 "
"Caguas","25","Maquinaria                               ","333","5","  205 ","  1,754,400 ","  8,572 "
"Caguas","25","Computadora y Productos Electrónicos    ","334","4","  1,163 ","  11,155,715 ","  9,592 "
"Caguas","25","Equipo y Aparatos Eléctricos             ","335","2","*","*","*"
"Caguas","25","Equipo de Transportación                 ","336","0","0","0","0"
"Caguas","25","Muebles y Productos Relacionados         ","337","10","  76 ","  458,110 ","  6,054 "
"Caguas","25","Industrias Manufactureras Misceláneas    ","339","5","  208 ","  1,811,286 ","  8,708 "
"Caguas","25","Comercio al por Mayor                    ","42","128","  2,249 ","  18,944,706 ","  8,424 "
"Caguas","25","Comercio al Detal                        ","44-45","480","  8,347 ","  51,519,956 ","  6,173 "
"Caguas","25","Transportación y Almacenamiento           ","48-49","44","  604 ","  4,814,509 ","  7,967 "
"Caguas","25","Información                              ","51","25","  1,570 ","  8,308,482 ","  5,291 "
"Caguas","25","Finanzas y Seguros                       ","52","76","  748 ","  8,200,493 ","  10,968 "
"Caguas","25","Bienes Raíces, Renta o Arrendamiento     ","53","72","  894 ","  5,925,113 ","  6,628 "
"Caguas","25","Servicios Profesionales y Técnicos       ","54","224","  2,136 ","  20,975,939 ","  9,822 "
"Caguas","25","Gerencia de Companías y Empresas         ","55","10","  535 ","  14,841,329 ","  27,724 "
"Caguas","25","Servicios Adm. y Desperdicios Sólidos    ","56","78","  5,724 ","  30,512,021 ","  5,331 "
"Caguas","25","Servicios Educativos                     ","61","46","3752","21016962 ","5602 "
"Caguas","25","Servicios de Salud y Asistencia Social   ","62","424","  5,153 ","  37,992,480 ","  7,372 "
"Caguas","25","Arte, Entretenimiento y Recreación       ","71","22","  118 ","  555,740 ","  4,710 "
"Caguas","25","Alojamiento y Servicios de Alimentos     ","72","228","  3,812 ","  13,564,159 ","  3,559 "
"Caguas","25","Otros Servicios Excepto Adm. Pública     ","81","153","  885 ","  5,164,653 ","  5,838 "
"Caguas","25","Administración Pública                   ","92","32","3667","26437502 ","7210 "
"Caguas","25","Otros (Establecimientos no Clasificados) ","99","32","  251 ","  736,308 ","  2,937 "
"Camuy","27","Total Municipio Primer Trimestre 2022 ","","362","  3,629 ","  17,818,344 ","  4,910 "
"Camuy","27","Agricultura, Bosque, Pesca y Caza        ","11","40","  198 ","  660,470 ","  3,341 "
"Camuy","27","Mineria                                  ","21","0","0","0","0"
"Camuy","27","Electricidad, Agua y Gas                 ","22","2","*","*","*"
"Camuy","27","Construcción                             ","23","33","  261 ","  1,125,223 ","  4,311 "
"Camuy","27","Manufactura                              ","31-33","13","  326 ","  1,502,468 ","  4,604 "
"Camuy","27","Alimentos                                ","311","5","  50 ","  154,171 ","  3,083 "
"Camuy","27","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Camuy","27","Textiles                                 ","313","0","0","0","0"
"Camuy","27","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Camuy","27","Ropa                                     ","315","2","*","*","*"
"Camuy","27","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Camuy","27","Productos de Madera                      ","321","0","0","0","0"
"Camuy","27","Papel                                    ","322","0","0","0","0"
"Camuy","27","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Camuy","27","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Camuy","27","Productos Químicos                       ","325","0","0","0","0"
"Camuy","27","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Camuy","27","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Camuy","27","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Camuy","27","Productos de Metal                       ","332","4","  13 ","  68,584 ","  5,144 "
"Camuy","27","Maquinaria                               ","333","0","0","0","0"
"Camuy","27","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Camuy","27","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Camuy","27","Equipo de Transportación                 ","336","0","0","0","0"
"Camuy","27","Muebles y Productos Relacionados         ","337","1","*","*","*"
"Camuy","27","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Camuy","27","Comercio al por Mayor                    ","42","14","  108 ","  395,552 ","  3,674 "
"Camuy","27","Comercio al Detal                        ","44-45","86","  473 ","  2,284,398 ","  4,830 "
"Camuy","27","Transportación y Almacenamiento           ","48-49","10","  47 ","  321,028 ","  6,782 "
"Camuy","27","Información                              ","51","3","  36 ","  157,905 ","  4,386 "
"Camuy","27","Finanzas y Seguros                       ","52","6","  132 ","  993,141 ","  7,524 "
"Camuy","27","Bienes Raíces, Renta o Arrendamiento     ","53","7","  15 ","  68,392 ","  4,559 "
"Camuy","27","Servicios Profesionales y Técnicos       ","54","20","  56 ","  254,443 ","  4,544 "
"Camuy","27","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Camuy","27","Servicios Adm. y Desperdicios Sólidos    ","56","7","  81 ","  342,769 ","  4,232 "
"Camuy","27","Servicios Educativos                     ","61","6","508","3395377 ","6684 "
"Camuy","27","Servicios de Salud y Asistencia Social   ","62","43","  384 ","  2,320,602 ","  6,038 "
"Camuy","27","Arte, Entretenimiento y Recreación       ","71","2","*","*","*"
"Camuy","27","Alojamiento y Servicios de Alimentos     ","72","34","  369 ","  1,009,084 ","  2,735 "
"Camuy","27","Otros Servicios Excepto Adm. Pública     ","81","19","  59 ","  212,708 ","  3,585 "
"Camuy","27","Administración Pública                   ","92","10","495","2366841 ","4778 "
"Camuy","27","Otros (Establecimientos no Clasificados) ","99","7","  39 ","  108,425 ","  2,757 "
"Canóvanas","29","Total Municipio Primer Trimestre 2022 ","","361","  5,250 ","  35,767,473 ","  6,813 "
"Canóvanas","29","Agricultura, Bosque, Pesca y Caza        ","11","3","*","*","*"
"Canóvanas","29","Mineria                                  ","21","0","0","0","0"
"Canóvanas","29","Electricidad, Agua y Gas                 ","22","2","*","*","*"
"Canóvanas","29","Construcción                             ","23","13","  76 ","  397,939 ","  5,213 "
"Canóvanas","29","Manufactura                              ","31-33","20","  551 ","  8,253,519 ","  14,979 "
"Canóvanas","29","Alimentos                                ","311","6","*","*","*"
"Canóvanas","29","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Canóvanas","29","Textiles                                 ","313","1","*","*","*"
"Canóvanas","29","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Canóvanas","29","Ropa                                     ","315","0","0","0","0"
"Canóvanas","29","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Canóvanas","29","Productos de Madera                      ","321","0","0","0","0"
"Canóvanas","29","Papel                                    ","322","0","0","0","0"
"Canóvanas","29","Imprenta e Industrias Relacionadas       ","323","3","*","*","*"
"Canóvanas","29","Productos de Petróleo y Carbón           ","324","1","*","*","*"
"Canóvanas","29","Productos Químicos                       ","325","4","*","*","*"
"Canóvanas","29","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Canóvanas","29","Productos Minerales no Metálicos         ","327","0","0","0","0"
"Canóvanas","29","Industrias de Materiales Primarios       ","331","2","*","*","*"
"Canóvanas","29","Productos de Metal                       ","332","2","*","*","*"
"Canóvanas","29","Maquinaria                               ","333","0","0","0","0"
"Canóvanas","29","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Canóvanas","29","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Canóvanas","29","Equipo de Transportación                 ","336","0","0","0","0"
"Canóvanas","29","Muebles y Productos Relacionados         ","337","1","*","*","*"
"Canóvanas","29","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Canóvanas","29","Comercio al por Mayor                    ","42","12","  72 ","  865,883 ","  11,971 "
"Canóvanas","29","Comercio al Detal                        ","44-45","83","  1,489 ","  8,005,529 ","  5,378 "
"Canóvanas","29","Transportación y Almacenamiento           ","48-49","5","  44 ","  382,322 ","  8,689 "
"Canóvanas","29","Información                              ","51","8","  73 ","  865,529 ","  11,803 "
"Canóvanas","29","Finanzas y Seguros                       ","52","12","  116 ","  1,022,116 ","  8,811 "
"Canóvanas","29","Bienes Raíces, Renta o Arrendamiento     ","53","2","*","*","*"
"Canóvanas","29","Servicios Profesionales y Técnicos       ","54","20","  51 ","  480,482 ","  9,360 "
"Canóvanas","29","Gerencia de Companías y Empresas         ","55","2","*","*","*"
"Canóvanas","29","Servicios Adm. y Desperdicios Sólidos    ","56","12","  56 ","  412,175 ","  7,317 "
"Canóvanas","29","Servicios Educativos                     ","61","3","482","3041401 ","6314 "
"Canóvanas","29","Servicios de Salud y Asistencia Social   ","62","69","  563 ","  3,561,040 ","  6,329 "
"Canóvanas","29","Arte, Entretenimiento y Recreación       ","71","10","  270 ","  1,410,020 ","  5,222 "
"Canóvanas","29","Alojamiento y Servicios de Alimentos     ","72","41","  616 ","  1,933,858 ","  3,139 "
"Canóvanas","29","Otros Servicios Excepto Adm. Pública     ","81","26","  105 ","  636,167 ","  6,059 "
"Canóvanas","29","Administración Pública                   ","92","11","598","3542554 ","5924 "
"Canóvanas","29","Otros (Establecimientos no Clasificados) ","99","7","  15 ","  60,031 ","  4,093 "
"Carolina","31","Total Municipio Primer Trimestre 2022 ","","1,981","  46,566 ","  321,328,405 ","  6,901 "
"Carolina","31","Agricultura, Bosque, Pesca y Caza        ","11","4","  14 ","  59,933 ","  4,281 "
"Carolina","31","Mineria                                  ","21","1","*","*","*"
"Carolina","31","Electricidad, Agua y Gas                 ","22","4","  205 ","  2,112,464 ","  10,288 "
"Carolina","31","Construcción                             ","23","85","  1,191 ","  8,936,481 ","  7,505 "
"Carolina","31","Manufactura                              ","31-33","74","  2,739 ","  38,548,964 ","  14,072 "
"Carolina","31","Alimentos                                ","311","16","  223 ","  1,004,557 ","  4,505 "
"Carolina","31","Productos de Tabaco y Bebidas            ","312","2","*","*","*"
"Carolina","31","Textiles                                 ","313","1","*","*","*"
"Carolina","31","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Carolina","31","Ropa                                     ","315","0","0","0","0"
"Carolina","31","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Carolina","31","Productos de Madera                      ","321","4","  51 ","  387,572 ","  7,599 "
"Carolina","31","Papel                                    ","322","1","*","*","*"
"Carolina","31","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Carolina","31","Productos de Petróleo y Carbón           ","324","1","*","*","*"
"Carolina","31","Productos Químicos                       ","325","8","*","*","*"
"Carolina","31","Productos de Goma y Plásticos            ","326","2","*","*","*"
"Carolina","31","Productos Minerales no Metálicos         ","327","2","*","*","*"
"Carolina","31","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Carolina","31","Productos de Metal                       ","332","15","  260 ","  1,598,935 ","  6,158 "
"Carolina","31","Maquinaria                               ","333","4","  61 ","  314,063 ","  5,121 "
"Carolina","31","Computadora y Productos Electrónicos    ","334","2","*","*","*"
"Carolina","31","Equipo y Aparatos Eléctricos             ","335","1","*","*","*"
"Carolina","31","Equipo de Transportación                 ","336","2","*","*","*"
"Carolina","31","Muebles y Productos Relacionados         ","337","6","  48 ","  419,211 ","  8,673 "
"Carolina","31","Industrias Manufactureras Misceláneas    ","339","4","  21 ","  93,871 ","  4,542 "
"Carolina","31","Comercio al por Mayor                    ","42","143","  1,609 ","  18,542,791 ","  11,524 "
"Carolina","31","Comercio al Detal                        ","44-45","388","  8,511 ","  50,288,805 ","  5,908 "
"Carolina","31","Transportación y Almacenamiento           ","48-49","126","  4,515 ","  40,975,816 ","  9,076 "
"Carolina","31","Información                              ","51","22","  332 ","  3,274,809 ","  9,854 "
"Carolina","31","Finanzas y Seguros                       ","52","62","  602 ","  5,635,098 ","  9,366 "
"Carolina","31","Bienes Raíces, Renta o Arrendamiento     ","53","88","  876 ","  7,986,981 ","  9,121 "
"Carolina","31","Servicios Profesionales y Técnicos       ","54","148","  843 ","  6,780,492 ","  8,046 "
"Carolina","31","Gerencia de Companías y Empresas         ","55","7","  189 ","  2,477,194 ","  13,107 "
"Carolina","31","Servicios Adm. y Desperdicios Sólidos    ","56","91","*","*","*"
"Carolina","31","Servicios Educativos                     ","61","33","2818","18637454 ","6613 "
"Carolina","31","Servicios de Salud y Asistencia Social   ","62","227","  3,018 ","  19,517,185 ","  6,466 "
"Carolina","31","Arte, Entretenimiento y Recreación       ","71","23","  329 ","  2,253,903 ","  6,844 "
"Carolina","31","Alojamiento y Servicios de Alimentos     ","72","254","  6,144 ","  33,456,171 ","  5,446 "
"Carolina","31","Otros Servicios Excepto Adm. Pública     ","81","146","  732 ","  4,148,357 ","  5,665 "
"Carolina","31","Administración Pública                   ","92","28","3998","32114819 ","8033 "
"Carolina","31","Otros (Establecimientos no Clasificados) ","99","27","  177 ","  1,122,112 ","  6,352 "
"Cataño","33","Total Municipio Primer Trimestre 2022 ","","318","  10,313 ","  85,176,157 ","  8,259 "
"Cataño","33","Agricultura, Bosque, Pesca y Caza        ","11","0","0","0","0"
"Cataño","33","Mineria                                  ","21","0","0","0","0"
"Cataño","33","Electricidad, Agua y Gas                 ","22","0","0","0","0"
"Cataño","33","Construcción                             ","23","19","  316 ","  1,948,149 ","  6,159 "
"Cataño","33","Manufactura                              ","31-33","21","  620 ","  5,630,434 ","  9,086 "
"Cataño","33","Alimentos                                ","311","4","  200 ","  1,102,687 ","  5,504 "
"Cataño","33","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Cataño","33","Textiles                                 ","313","0","0","0","0"
"Cataño","33","Productos Textiles Excepto Ropa          ","314","2","*","*","*"
"Cataño","33","Ropa                                     ","315","1","*","*","*"
"Cataño","33","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Cataño","33","Productos de Madera                      ","321","0","0","0","0"
"Cataño","33","Papel                                    ","322","1","*","*","*"
"Cataño","33","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Cataño","33","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Cataño","33","Productos Químicos                       ","325","3","  7 ","  56,672 ","  8,501 "
"Cataño","33","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Cataño","33","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Cataño","33","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Cataño","33","Productos de Metal                       ","332","5","  115 ","  819,626 ","  7,107 "
"Cataño","33","Maquinaria                               ","333","1","*","*","*"
"Cataño","33","Computadora y Productos Electrónicos    ","334","1","*","*","*"
"Cataño","33","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Cataño","33","Equipo de Transportación                 ","336","0","0","0","0"
"Cataño","33","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Cataño","33","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Cataño","33","Comercio al por Mayor                    ","42","59","  2,260 ","  26,359,679 ","  11,664 "
"Cataño","33","Comercio al Detal                        ","44-45","58","  727 ","  8,152,169 ","  11,213 "
"Cataño","33","Transportación y Almacenamiento           ","48-49","24","  1,062 ","  11,695,474 ","  11,016 "
"Cataño","33","Información                              ","51","7","  468 ","  4,304,254 ","  9,197 "
"Cataño","33","Finanzas y Seguros                       ","52","3","  20 ","  101,029 ","  5,051 "
"Cataño","33","Bienes Raíces, Renta o Arrendamiento     ","53","13","  97 ","  634,974 ","  6,546 "
"Cataño","33","Servicios Profesionales y Técnicos       ","54","24","  285 ","  2,769,030 ","  9,705 "
"Cataño","33","Gerencia de Companías y Empresas         ","55","6","  407 ","  3,506,475 ","  8,615 "
"Cataño","33","Servicios Adm. y Desperdicios Sólidos    ","56","18","  2,386 ","  10,124,548 ","  4,243 "
"Cataño","33","Servicios Educativos                     ","61","4","298","1879238 ","6306 "
"Cataño","33","Servicios de Salud y Asistencia Social   ","62","14","  101 ","  640,752 ","  6,344 "
"Cataño","33","Arte, Entretenimiento y Recreación       ","71","1","*","*","*"
"Cataño","33","Alojamiento y Servicios de Alimentos     ","72","22","  205 ","  775,580 ","  3,777 "
"Cataño","33","Otros Servicios Excepto Adm. Pública     ","81","13","  203 ","  1,639,256 ","  8,088 "
"Cataño","33","Administración Pública                   ","92","9","838","  4,867,076 ","5808 "
"Cataño","33","Otros (Establecimientos no Clasificados) ","99","3","*","*","*"
"Cayey","35","Total Municipio Primer Trimestre 2022 ","","480","  9,531 ","  68,287,113 ","  7,165 "
"Cayey","35","Agricultura, Bosque, Pesca y Caza        ","11","10","  21 ","  90,061 ","  4,289 "
"Cayey","35","Mineria                                  ","21","1","*","*","*"
"Cayey","35","Electricidad, Agua y Gas                 ","22","3","  192 ","  1,799,660 ","  9,390 "
"Cayey","35","Construcción                             ","23","21","  170 ","  872,843 ","  5,134 "
"Cayey","35","Manufactura                              ","31-33","21","  1,876 ","  16,577,578 ","  8,835 "
"Cayey","35","Alimentos                                ","311","3","  40 ","  153,763 ","  3,844 "
"Cayey","35","Productos de Tabaco y Bebidas            ","312","3","  861 ","  7,494,552 ","  8,704 "
"Cayey","35","Textiles                                 ","313","0","0","0","0"
"Cayey","35","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Cayey","35","Ropa                                     ","315","0","0","0","0"
"Cayey","35","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Cayey","35","Productos de Madera                      ","321","1","*","*","*"
"Cayey","35","Papel                                    ","322","1","*","*","*"
"Cayey","35","Imprenta e Industrias Relacionadas       ","323","2","*","*","*"
"Cayey","35","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Cayey","35","Productos Químicos                       ","325","2","*","*","*"
"Cayey","35","Productos de Goma y Plásticos            ","326","3","*","*","*"
"Cayey","35","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Cayey","35","Industrias de Materiales Primarios       ","331","1","*","*","*"
"Cayey","35","Productos de Metal                       ","332","2","*","*","*"
"Cayey","35","Maquinaria                               ","333","0","0","0","0"
"Cayey","35","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Cayey","35","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Cayey","35","Equipo de Transportación                 ","336","0","0","0","0"
"Cayey","35","Muebles y Productos Relacionados         ","337","2","*","*","*"
"Cayey","35","Industrias Manufactureras Misceláneas    ","339","0","0","0","0"
"Cayey","35","Comercio al por Mayor                    ","42","15","  237 ","  1,858,733 ","  7,843 "
"Cayey","35","Comercio al Detal                        ","44-45","108","  2,005 ","  12,867,184 ","  6,416 "
"Cayey","35","Transportación y Almacenamiento           ","48-49","9","  59 ","  684,248 ","  11,532 "
"Cayey","35","Información                              ","51","5","  78 ","  706,273 ","  9,055 "
"Cayey","35","Finanzas y Seguros                       ","52","12","  103 ","  851,531 ","  8,294 "
"Cayey","35","Bienes Raíces, Renta o Arrendamiento     ","53","18","  64 ","  371,959 ","  5,842 "
"Cayey","35","Servicios Profesionales y Técnicos       ","54","30","  81 ","  465,101 ","  5,718 "
"Cayey","35","Gerencia de Companías y Empresas         ","55","2","*","*","*"
"Cayey","35","Servicios Adm. y Desperdicios Sólidos    ","56","11","  69 ","  278,578 ","  4,018 "
"Cayey","35","Servicios Educativos                     ","61","8","1217","9314964 ","7652 "
"Cayey","35","Servicios de Salud y Asistencia Social   ","62","103","  1,714 ","  14,257,055 ","  8,318 "
"Cayey","35","Arte, Entretenimiento y Recreación       ","71","10","  25 ","  255,215 ","  10,074 "
"Cayey","35","Alojamiento y Servicios de Alimentos     ","72","49","  720 ","  2,475,164 ","  3,438 "
"Cayey","35","Otros Servicios Excepto Adm. Pública     ","81","28","  127 ","  569,440 ","  4,496 "
"Cayey","35","Administración Pública                   ","92","13","752","3873296 ","5151 "
"Cayey","35","Otros (Establecimientos no Clasificados) ","99","3","  3 ","  23,316 ","  8,744 "
"Ceiba","37","Total Municipio Primer Trimestre 2022 ","","102","  1,481 ","  7,786,116 ","  5,259 "
"Ceiba","37","Agricultura, Bosque, Pesca y Caza        ","11","2","*","*","*"
"Ceiba","37","Mineria                                  ","21","0","0","0","0"
"Ceiba","37","Electricidad, Agua y Gas                 ","22","0","0","0","0"
"Ceiba","37","Construcción                             ","23","7","  95 ","  257,626 ","  2,702 "
"Ceiba","37","Manufactura                              ","31-33","9","  285 ","  1,685,129 ","  5,920 "
"Ceiba","37","Alimentos                                ","311","1","*","*","*"
"Ceiba","37","Productos de Tabaco y Bebidas            ","312","0","0","0","0"
"Ceiba","37","Textiles                                 ","313","0","0","0","0"
"Ceiba","37","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Ceiba","37","Ropa                                     ","315","0","0","0","0"
"Ceiba","37","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Ceiba","37","Productos de Madera                      ","321","0","0","0","0"
"Ceiba","37","Papel                                    ","322","0","0","0","0"
"Ceiba","37","Imprenta e Industrias Relacionadas       ","323","0","0","0","0"
"Ceiba","37","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Ceiba","37","Productos Químicos                       ","325","1","*","*","*"
"Ceiba","37","Productos de Goma y Plásticos            ","326","0","0","0","0"
"Ceiba","37","Productos Minerales no Metálicos         ","327","1","*","*","*"
"Ceiba","37","Industrias de Materiales Primarios       ","331","0","0","0","0"
"Ceiba","37","Productos de Metal                       ","332","3","  52 ","  304,475 ","  5,818 "
"Ceiba","37","Maquinaria                               ","333","1","*","*","*"
"Ceiba","37","Computadora y Productos Electrónicos    ","334","0","0","0","0"
"Ceiba","37","Equipo y Aparatos Eléctricos             ","335","0","0","0","0"
"Ceiba","37","Equipo de Transportación                 ","336","1","*","*","*"
"Ceiba","37","Muebles y Productos Relacionados         ","337","0","0","0","0"
"Ceiba","37","Industrias Manufactureras Misceláneas    ","339","1","*","*","*"
"Ceiba","37","Comercio al por Mayor                    ","42","6","  42 ","  213,321 ","  5,079 "
"Ceiba","37","Comercio al Detal                        ","44-45","14","  106 ","  529,527 ","  5,011 "
"Ceiba","37","Transportación y Almacenamiento           ","48-49","3","  46 ","  367,933 ","  7,999 "
"Ceiba","37","Información                              ","51","0","0","0","0"
"Ceiba","37","Finanzas y Seguros                       ","52","3","  20 ","  162,956 ","  8,286 "
"Ceiba","37","Bienes Raíces, Renta o Arrendamiento     ","53","4","  8 ","  39,642 ","  4,757 "
"Ceiba","37","Servicios Profesionales y Técnicos       ","54","8","  22 ","  264,230 ","  12,195 "
"Ceiba","37","Gerencia de Companías y Empresas         ","55","0","0","0","0"
"Ceiba","37","Servicios Adm. y Desperdicios Sólidos    ","56","6","  73 ","  354,317 ","  4,876 "
"Ceiba","37","Servicios Educativos                     ","61","5","254","1542008 ","6063 "
"Ceiba","37","Servicios de Salud y Asistencia Social   ","62","13","  56 ","  263,385 ","  4,703 "
"Ceiba","37","Arte, Entretenimiento y Recreación       ","71","0","0","0","0"
"Ceiba","37","Alojamiento y Servicios de Alimentos     ","72","5","  65 ","  233,173 ","  3,606 "
"Ceiba","37","Otros Servicios Excepto Adm. Pública     ","81","6","  16 ","  67,654 ","  4,318 "
"Ceiba","37","Administración Pública                   ","92","9","390","1786104 ","4580 "
"Ceiba","37","Otros (Establecimientos no Clasificados) ","99","2","*","*","*"
"Ciales","39","Total Municipio Primer Trimestre 2022 ","","151","  1,709 ","  8,422,249 ","  4,927 "
"Ciales","39","Agricultura, Bosque, Pesca y Caza        ","11","23","  68 ","  199,608 ","  2,950 "
"Ciales","39","Mineria                                  ","21","1","*","*","*"
"Ciales","39","Electricidad, Agua y Gas                 ","22","1","*","*","*"
"Ciales","39","Construcción                             ","23","13","  98 ","  363,179 ","  3,693 "
"Ciales","39","Manufactura                              ","31-33","10","  118 ","  638,131 ","  5,393 "
"Ciales","39","Alimentos                                ","311","5","  57 ","  296,770 ","  5,176 "
"Ciales","39","Productos de Tabaco y Bebidas            ","312","1","*","*","*"
"Ciales","39","Textiles                                 ","313","0","0","0","0"
"Ciales","39","Productos Textiles Excepto Ropa          ","314","0","0","0","0"
"Ciales","39","Ropa                                     ","315","0","0","0","0"
"Ciales","39","Cuero y Productos Relacionados           ","316","0","0","0","0"
"Ciales","39","Productos de Madera                      ","321","0","0","0","0"
"Ciales","39","Papel                                    ","322","0","0","0","0"
"Ciales","39","Imprenta e Industrias Relacionadas       ","323","1","*","*","*"
"Ciales","39","Productos de Petróleo y Carbón           ","324","0","0","0","0"
"Ciales","39","Productos Químicos                       ","325","1","*","*","*"
"Ciales","39","Productos de Goma y Plásticos            ","326","2","*","*","*"
"Ciales","39","Productos Minerales no Metálicos         ","327","0","0","0","0"
