fipstate,fipscty,naics,empflag,emp_nf,emp,qp1_nf,qp1,ap_nf,ap,est,n1_4,n5_9,n10_19,n20_49,n50_99,n100_249,n250_499,n500_999,n1000,n1000_1,n1000_2,n1000_3,n1000_4,censtate,cencty
72,1,------,,G,694,G,2778,G,11846,119,76,24,12,5,2,0,0,0,0,0,0,0,0,6,1
72,1,23----,B,D,0,D,0,D,0,4,2,0,1,0,1,0,0,0,0,0,0,0,0,6,1
72,1,236///,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,2362//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,23622/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,236220,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,238///,B,D,0,D,0,D,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,6,1
72,1,2382//,B,D,0,D,0,D,0,3,1,0,1,0,1,0,0,0,0,0,0,0,0,6,1
72,1,23821/,B,D,0,D,0,D,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1
72,1,238210,B,D,0,D,0,D,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,6,1
72,1,23829/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,238290,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31----,B,D,0,D,0,D,0,5,3,1,0,0,1,0,0,0,0,0,0,0,0,6,1
72,1,311///,,G,17,H,25,G,100,4,3,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,3114//,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31141/,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,311412,A,D,0,D,0,D,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,3118//,,G,15,H,22,H,89,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,31181/,,G,15,H,22,H,89,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,311811,,G,15,H,22,H,89,3,2,1,0,0,0,0,0,0,0,0,0,0,0,6,1
72,1,315///,B,D,0,D,0,D,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
72,1,3152//,B,D,0,D,0,D,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
72,1,31521/,B,D,0,D,0,D,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,6,1
