"fipstate","fipscty","naics","empflag","emp","qp1","ap","est","n1_4","n5_9","n10_19","n20_49","n50_99","n100_249","n250_499","n500_999","n1000","n1000_1","n1000_2","n1000_3","n1000_4","censtate","cencty"
"72","001","424710","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44----",,180,438,1940,40,30,6,3,0,1,0,0,0,0,0,0,0,0,"06","001"
"72","001","441///",,5,10,37,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4413//",,5,10,37,4,4,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44131/","A",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","441310","A",0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44132/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","441320","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","442///",,15,34,145,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4421//",,15,34,145,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44211/",,15,34,145,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","442110",,15,34,145,3,1,2,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","444///",,10,22,116,6,5,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4441//","A",0,0,0,4,3,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44413/",,8,18,93,3,2,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","444130",,8,18,93,3,2,1,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","44419/","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","444190","A",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
"72","001","4442//","A",0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,"06","001"
